P(mb)  HT(FT)   DRCT  SPD(KTS)  T(C)                   
1000	219   	13 	3  	34 
 975	928   	13 	3  	33 
 950	1653  	13 	3  	31 
 925	2398  	13 	3  	30 
 900	3166  	13 	3  	28 
 850	4767  	13 	3  	25 
 800	6469  	13 	3  	22 
 750	8287  	13 	3  	18 
 700	10226 	65 	5  	15 
 650	12280 	77 	12 	11 
 600	14465 	74 	16 	7  
 550	16804 	87 	10 	3  
 500	19333 	72 	6  	0  
 450	22086 	344	2  	-4 
 400	25114 	266	5  	-8 
 350	28474 	304	8  	-15
 300	32247 	337	13 	-22
 250	36564 	341	28 	-31
 200	41601 	343	28 	-44
 150	47690 	346	27 	-60
 100	55633 	345	20 	-75
  70	62408 	64 	30 	-71
  50	69064 	88 	14 	-64
  30	79520 	91 	32 	-55
  20	88110 	81 	39 	-51
  10	103110	75 	47 	-44
   7	111030	82 	50 	-38
   5	118736	92 	50 	-31
   3	130820	88 	49 	-21
   2	140757	93 	54 	-13
   1	158188	81 	59 	-10

TEST CASE

GFS output
